Studio Name,Service type,Rating,Address,City,,yYlJEf href
Divya Digital Studio,· Photography studio,4.6," Thiruvananthapuram, Kerala",Trivandrum, 0471 247 0627,
Magic Momentz,· Photographer,5," Gopinath Towers, Mahadeva Temple Padinjare nada, Kazhakuttom, near Canara Bank",Trivandrum, 099952 20580,https://www.facebook.com/magicmomentzweddingphotographers
UPASANA CREATIVE PHOTO STUDIO,· Photography studio,5,,Trivandrum,,
Deziners Color lab and Studio,· Wedding photographer,4.5," HX26+C9M, Peroorkada Mannanthala Rd",Trivandrum, 0471 273 3050,http://www.facebook.com/dezinersweddingalbums
VIOLET FRAMES,· Wedding photographer,5," Thiruvananthapuram, Kerala",Trivandrum, 095449 93398,
Sivans Studio,· Photography studio,4.1," FWWX+75F, Mahatma Gandhi Rd",Trivandrum, 0471 247 0159,
Mini Studio,· Photography studio,4.1," Thiruvananthapuram, Kerala",Trivandrum, 093494 01693,
Mills' n boons studio &Color lab,· Photography studio,4.3," Kesavadasapuram,kedaram shopping complex",Trivandrum, 094470 56343,
Photo Park Colour Lab,· Photographer,3.8," GX22+436, Spencers Junction",Trivandrum, 0471 233 3217,http://www.photopark.in/
SREYA DIGITAL STUDIO,· Photography studio,4.7," Thiruvananthapuram, Kerala",Trivandrum, 097451 09912,
John studio,· Photography studio,4, GWRF+3M5,Trivandrum, 0471 244 0243,
Beena DIGITAL STUDIO & COLOR LAB,· Photography studio,4.4," GWHG+4PR, Akkulam Rd",Trivandrum,,
Babu Studio,· Photography studio,3.8," TC 14/368, Palayam Airport Rd",Trivandrum, 099951 33974,
OSCAR DIGITAL STUDIO,· Photography studio,4, GW8M+FJ3,Trivandrum, 094004 54320,
We For Visuals,· Video production service,4.9," Deepa Nivas, Mukkola, Near, St. Thomas School Rd",Trivandrum, 099475 24205,http://www.weforvisuals.com/
Sivasankar Digital Studio,· Photography studio,3.6," Shop No. CG-11, Trida Complex, University of Kerala Senate House Campus, Palayam",Trivandrum, 0471 232 8228,
gloria,· Photography studio,4.9," Thiruvananthapuram - , Muttada",Trivandrum,,http://business.google.com/website/gloria
PRABHA'S DIGITAL STUDIO,· Photography studio,4.3, GWMH+5JP,Trivandrum, 093877 58256,
ANUGRAHA DIGITAL STUDIO & VIDEO,· Photography studio,4.3, FWQR+2P3,Trivandrum, 0471 406 2425,
Pavithra DIGITAL STUDIO,· Photography studio,4.1, GWXV+5M2,Trivandrum, 099460 09270,
Motive pix studio,· Photography studio,5," Sreekaryam, Kerala",Trivandrum,,
Visual Dynamix Studio,· Photography studio,4.7," Sanmathi (VDS), Ambalam Nagar, Vattappara",Trivandrum,,https://www.facebook.com/visualdynamixstudio
SHIKIL PHOTOGRAPHY,· Photography studio,5,,Trivandrum, 098460 52868,
LEKSHMI DIGITAL STUDIO,· Wedding photographer,4.6," Thiruvananthapuram, Kerala",Trivandrum, 0471 406 1230,
Rahul Devakumar 's Creative Media Studio,· Photography studio,5," Sabari, T P Kesava Gardens, Koonamkulam, Lane",Trivandrum, 080892 84080,https://www.rahuldevakumar.com/
Photoplus Digital Colour Lab Studio,· Photography studio,4.4," Thiruvananthapuram, Kerala",Trivandrum, 093497 76212,
vigneswara photo studio,· Photography studio,4.5,,Trivandrum, 094470 77244,https://vigneswara-photo-studio.business.site/?utm_source=gmb&utm_medium=referral
Achoos Digital Studio,· Photography studio,4.3, GXGQ+3V7,Trivandrum, 093886 62225,
Kichu Digital Studio,· Photography studio,4.2," Thiruvananthapuram, Kerala",Trivandrum, 094476 97938,http://business.google.com/website/kichu-digital-studio
Michael Pics Digital Studio in Vattappara,· Photography studio,4.9," Vattappara, Kerala",Trivandrum, 098956 57418,http://michaelpics.co.nf/
Shoot N Frame Digital Studio,· Photography studio,4.4," 1st Floor, GK Building, Maruthunkuzhi Kachani Rd",Trivandrum,,
PRA Studio and Communications,· Photography studio,4.6," C2X6+P82, main road pravachambalam,, Pravachambalam, nemom po",Trivandrum, 095449 68844,
Symphony Digital Studio,· Photography studio,3.8, Shop No.19,Trivandrum, 0471 257 1727,
