Studio Name,Service type,Rating,Address,City,Contact Number,Website
Kamal Photo Studio, Photography studio,4," Jai Maharashtra Chawl, Golibar Rd",Mumbai, 086520 19916,https://instagram.com/kamal.photography01?igshid=YmMyMTA2M2Y=
Rupal Photo Studio, Photography studio,3.8," Shop Number-2, Police Patel House, Chakala Goothan, Chakala Rd",Mumbai, 022 2820 2529,
Dee Studios, Photography studio,4.7,,Mumbai, 099206 46460,https://www.instagram.com/deestudiosofficial/
Wolfcrow Studios, Photography studio,4.7,,Mumbai, 099301 81000,https://wolfcrow.com/studio/
Vijay Photo Studio, Photography studio,3.8," Shop No 10,35, Dr.Sunderlal Bahl Path, Mint Rd",Mumbai,,
Swastik Photo Studio, Photographer,3.9,,Mumbai, 093220 21746,
Famous Digital Photo Studio, Photo shop,4.4,,Mumbai, 088987 81288,
Brite Photo Service, Photography studio,4.2," 26, ODEON Shopping Centre, Vallabh Baug Lane, Ghatkopar East",Mumbai, 022 2102 4216,
"Chheda Color Lab(Digital Printing,Personalised Gifting, Photo Studio, Jumbo Xerox)", Photography studio,4.1," Apartment, Shop no. 3, Arihant, 4, K Kadam Marg",Mumbai,,
Photo Zone, Photography studio,4.1," Shop no 4, Hill View Society, 241, Hill Road, Opp Mehboob Studio,",Mumbai, 099209 60751,
Akash Digital Photo Studio, Photography studio,4.7," shop no 4, Lucy Chwl, 90 Feet Rd, opposite D'Souza Nagar",Mumbai, 082911 99996,https://youtu.be/fwd7wbbNbIk
Magic Digital photo Studio & Photo Frame, Passport photo processor,3.9,,Mumbai, 098925 08854,
Tubers Studio Entertainment & Media Pvt Ltd, Video production service,4.7," 56/12, Teekay Menthol, Marol Co - Opperative",Mumbai, 096640 07689,http://www.tubersstudio.com/
Anupam Studio, Photography studio,3.8," Jyot deep mahal, Nanda Patkar Rd",Mumbai, 022 2614 6890,
India Photo Studio, Photography studio,4," 200, Dr Baba Saheb Ambedkar Rd, next to Chitra Cinema",Mumbai,,
Kamal photo Studio, Photography studio,4.7, Near Bande Nawaz Hotel Tata Colony,Mumbai, 093206 19111,
Vidhi Thakur Wedding & Maternity Studio, Photographer,4.9, 704 lotus buisness park Ram Baug lane,Mumbai, 098193 89429,http://www.vidhithakur.com/
Sandesign Studios, Film Production Company,4.2,,Mumbai,,http://sandesign.in/
Zoom Photo Studio, Photography studio,4.5, Kishore Kumar Ganguly Marg,Mumbai, 082918 86911,https://zoomphotostudio.business.site/
Midas Touch Photography, Photography studio,4.7," Flat No. 601, F Wing, Laxmi CHS Ltd., Gautam Nagar, Bhim Nagar Rd",Mumbai, 022 2820 9171,
Diamond Studio, Photography studio,3.9," Shop No. B-4, 5, SG Barve Marg, opp. Kirana Ghar Super Mart",Mumbai, 098194 63639,
Navarang Digital Lab, Photography studio,4," 33, Galleria",Mumbai, 088280 58786,
Studio Orbis Pvt Ltd, Photography studio,4.9,,Mumbai,,http://www.studioorbis.com/
